Phylum	Taxa	Treeshrunk?	QNew fits locus best (/20)
p__4484-113	2
p__4572-55	2
p__AABM5-125-24	21
p__Abyssubacteria	3
p__Acidobacteriota	873
p__Actinobacteriota	7328
p__Aerophobota	9
p__Aquificota	76
p__Armatimonadota	139
p__ARS69	1
p__Atribacterota	37
p__Aureabacteria	2
p__B130-G9	2
p__Bacteroidota	8588
p__Bdellovibrionota	224
p__Bdellovibrionota_C	17
p__Bdellovibrionota_E	9
p__Bipolaricaulota	46
p__BMS3Abin14	5
p__BS750m-G25	1
p__BS750m-G34	1
p__CAIJMQ01	3
p__Caldisericota	26
p__Calditrichota	18
p__Calescibacterota	4
p__Campylobacterota	550
p__CG03	13
p__CG2-30-53-67	2
p__CG2-30-70-394	1
p__Chlamydiota	171
p__Chloroflexota	1387
p__Chrysiogenota	3
p__CLD3	6
p__Cloacimonadota	60
p__Coprothermobacterota	6
p__CSP1-3	21
p__CSSED10-310	8
p__Cyanobacteria	1372
p__Deferribacterota	19
p__Deinococcota	144
p__Delongbacteria	11
p__Dependentiae	61
p__Desantisbacteria	3
p__Desulfobacterota	939
p__Desulfobacterota_B	66
p__Desulfobacterota_C	16
p__Desulfobacterota_D	26
p__Desulfobacterota_E	21
p__Desulfobacterota_G	30
p__Desulfobacterota_I	236
p__Dictyoglomota	5
p__Dormibacterota	88
p__DRYD01	2
p__DTU030	11
p__DUMJ01	4
p__Edwardsbacteria	7
p__Eisenbacteria	31
p__Elusimicrobiota	189
p__Eremiobacterota	81
p__FCPU426	5
p__FEN-1099	2
p__Fermentibacterota	15
p__Fibrobacterota	120
p__Firestonebacteria	8
p__Firmicutes	4216
p__Firmicutes_A	8243
p__Firmicutes_B	323
p__Firmicutes_C	395
p__Firmicutes_D	104
p__Firmicutes_E	65
p__Firmicutes_F	49
p__Firmicutes_G	131
p__Firmicutes_H	17
p__Fusobacteriota	96
p__GCA-001730085	1
p__Gemmatimonadota	237
p__Gemmatimonadota_A	1
p__Goldbacteria	8
p__HKB111	2
p__Hydrogenedentota	42
p__J088	1
p__JAAXHH01	7
p__JABDJQ01	3
p__JABMQX01	2
p__JACIXR01	2
p__JACPQY01	2
p__JACPSX01	1
p__JACPUC01	1
p__JACPWU01	2
p__JACQOV01	1
p__JACRDZ01	2
p__JADJOY01	1
p__JAFGBW01	2
p__JAFGND01	1
p__JAFGOL01	1
p__JAGOBX01	1
p__JAGOEH01	1
p__JAHJDO01	1
p__JdFR-76	5
p__Krumholzibacteriota	35
p__KSB1	36
p__Latescibacterota	37
p__Lindowbacteria	2
p__Margulisbacteria	54
p__Marinisomatota	186
p__Mcinerneyibacteriota	3
p__Methylomirabilota	76
p__Moduliflexota	4
p__Muirbacteria	1
p__Myxococcota	393
p__Myxococcota_A	72
p__Nitrospinota	60	No	17
p__Nitrospinota_B	2	No	17
p__Nitrospirota	314
p__Nitrospirota_A	5
p__NPL-UPA2	2
p__OLB16	7
p__Omnitrophota	282
p__Patescibacteria	2485
p__Planctomycetota	1071
p__Poribacteria	34
p__Proteobacteria	17350
p__PUNC01	2
p__QNDG01	11
p__Ratteibacteria	9
p__RBG-13-61-14	5
p__RBG-13-66-14	5
p__Riflebacteria	22
p__RUG730	1
p__SAR324	40
p__Schekmanbacteria	4
p__SLNR01	1
p__SM23-31	2
p__Spirochaetota	695
p__SpSt-318	1
p__Sumerlaeota	19
p__Synergistota	132
p__SZUA-182	5
p__SZUA-79	6
p__T1Sed10-126	2
p__T1SED10-198M	1
p__TA06	2
p__TA06_A	1
p__Tectomicrobia	4
p__Thermodesulfobiota	3
p__Thermosulfidibacterota	6
p__Thermotogota	83
p__UBA10199	33
p__UBA1439	1
p__UBA2233	2
p__UBA3054	13
p__UBA6262	5
p__UBA6266	2
p__UBA8248	10
p__UBA8481	2
p__UBA9089	7
p__UBP13	1
p__UBP14	8
p__UBP15	3
p__UBP17	7
p__UBP18	3
p__UBP4	1
p__UBP6	18
p__UBP7	3
p__Verrucomicrobiota	1325
p__VGIX01	3
p__Wallbacteria	3
p__WOR-3	77
p__Zixibacteria	47
